iter	Passed	Remaining
139	31177	3086565
140	31469	3093194
141	31744	3098022
142	32028	3103655
143	32315	3109498
144	32605	3115556
145	32906	3122490
146	33197	3128511
147	33487	3134235
148	33782	3140427
149	34058	3144712
150	34357	3151146
151	34633	3155314
152	34925	3160900
153	35212	3165963
154	35515	3172380
155	35805	3177550
156	36084	3181638
157	36369	3186229
158	36654	3190795
159	36943	3195624
160	37233	3200471
161	37518	3204783
162	37805	3209311
163	38089	3213471
164	38374	3217606
165	38667	3222414
166	38954	3226660
167	39239	3230749
168	39533	3235402
169	39819	3239463
170	40106	3243469
171	40406	3248465
172	40684	3251708
173	40972	3255633
174	41272	3260541
175	41549	3263487
176	41659	3253461
177	41721	3239770
178	41788	3226618
179	41849	3213103
180	41902	3199189
181	41953	3185261
182	42008	3171776
183	42057	3157963
184	42109	3144543
185	42161	3131285
186	42213	3118124
187	42264	3105079
188	42315	3092187
189	42364	3079222
190	42414	3066480
191	42471	3054423
192	42530	3042549
193	42581	3030316
194	42632	3018127
195	42662	3004691
196	42679	2990399
197	42913	2991365
198	43201	2996115
199	43488	3000682
200	43775	3005232
201	44059	3009571
202	44347	3014090
203	44646	3019311
204	44936	3023904
205	45235	3029042
206	45507	3032315
207	45812	3037705
208	46010	3036034
209	46240	3036453
210	46515	3039792
211	46763	3041385
212	47044	3045099
213	47338	3049545
214	47624	3053509
215	47911	3057454
216	48195	3061208
217	48491	3065673
218	48779	3069527
219	49067	3073391
220	49352	3077076
221	49645	3081135
222	49930	3084730
223	50215	3088282
224	50349	3082514
225	50633	3085951
226	50927	3089964
227	51213	3093462
228	51345	3087660
229	51629	3091040
230	51921	3094831
231	52208	3098288
232	52494	3101706
233	52781	3105089
234	53075	3108858
235	53361	3112165
236	53649	3115518
237	53938	3118905
238	54199	3120642
239	54260	3110939
240	54323	3101395
241	54373	3091223
242	54425	3081211
243	54473	3071066
244	54526	3061252
245	54576	3051378
246	54629	3041766
247	54676	3031914
248	54726	3022255
249	54774	3012586
250	54825	3003185
251	54877	2993845
252	54931	2984735
253	54983	2975628
254	54999	2964582
255	55011	2953417
256	55026	2942513
257	55076	2933576
258	55125	2924634
259	55175	2915816
260	55233	2907458
261	55284	2898826
262	55337	2890366
263	55391	2882036
264	55439	2873459
265	55489	2865014
266	55544	2856905
267	55596	2848701
268	55649	2840628
269	55700	2832464
270	55751	2824388
271	55802	2816396
272	55850	2808266
273	55901	2800395
274	55962	2793032
275	56018	2785523
276	56071	2777853
277	56122	2770188
278	56169	2762382
279	56216	2754600
280	56268	2747142
281	56322	2739835
282	56342	2730896
283	56391	2723447
284	56442	2716177
285	56491	2708807
286	56540	2701512
287	56592	2694432
288	56647	2687501
289	56701	2680613
290	56751	2673557
291	56801	2666547
292	56853	2659706
293	56902	2652736
294	56917	2644267
295	56973	2637701
296	57025	2631049
297	57078	2624447
298	57127	2617737
299	57176	2611051
300	57227	2604538
301	57277	2597961
302	57329	2591575
303	57381	2585193
304	57431	2578773
305	57481	2572375
306	57534	2566175
307	57583	2559866
308	57634	2553630
309	57687	2547537
310	57737	2541361
311	57790	2535360
312	57839	2529233
313	57891	2523249
314	57941	2517254
315	57991	2511254
316	58041	2505304
317	58092	2499440
318	58143	2493614
319	58193	2487765
320	58247	2482141
321	58297	2476394
322	58350	2470758
323	58402	2465145
324	58452	2459495
325	58480	2452972
326	58532	2447452
327	58582	2441878
328	58632	2436381
329	58683	2430909
330	58734	2425507
331	58789	2420293
332	58840	2414940
333	58891	2409606
334	58944	2404391
335	58995	2399165
336	59048	2393989
337	59100	2388847
338	59151	2383688
339	59181	2377701
340	59233	2372636
341	59282	2367494
342	59332	2362398
343	59385	2357460
344	59441	2352685
345	59492	2347717
346	59544	2342822
347	59554	2336329
348	59607	2331506
349	59657	2326659
350	59677	2320605
351	59727	2315795
352	59781	2311142
353	59836	2306581
